Billdet_ID,FRANCHISE_ID,SITE_ID,Bill_ID,item_ID,QUANTITY,PRICE,Total,Note,ItemName,ItemName_Local,ItemType,ParentID,IsUpload,BillDetailStatus,BillDetailKey,TotalBeforDiscount,PriceListId,Bill_UnitID,CallCenterOrderDetailId,tablekey_ID,DetailSourceId,DiscountValue,TaxValue
244477,139,257,143114,113715,1.000000,220.000000,220.000000,NULL,4PcVolt,NULL,1,0,1,4,NULL,220.000000,0,147308,NULL,0,NULL,0.000000,0.000000
244478,139,257,143114,0,1.000000,0.000000,0.000000,NULL,اتنين سبايسي و اتنين عادي,NULL,4,244477,1,4,257-244478,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
244479,139,257,143114,113743,0.500000,40.000000,20.000000,NULL,Curly Fries,NULL,1,0,1,4,NULL,20.000000,0,147336,NULL,0,NULL,0.000000,0.000000
244480,139,257,143114,0,1.000000,0.000000,0.000000,NULL,عيش برجر,NULL,4,244479,1,4,257-244480,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
244481,139,257,143114,113805,1.000000,30.000000,30.000000,NULL,Delivery Charge,خدمة التوصيل,5,0,1,4,NULL,30.000000,0,147408,NULL,0,NULL,NULL,NULL
244482,139,257,143115,113710,1.000000,190.000000,190.000000,NULL,Jnash ,NULL,1,0,1,4,NULL,190.000000,0,147303,NULL,0,NULL,0.000000,0.000000
244483,139,257,143115,113716,1.000000,280.000000,280.000000,NULL,4PcNash,NULL,1,0,1,4,NULL,280.000000,0,147309,NULL,0,NULL,0.000000,0.000000
244484,139,257,143115,113746,1.000000,80.000000,80.000000,NULL,Cheesy Waffle'd,NULL,1,0,1,4,NULL,80.000000,0,147339,NULL,0,NULL,0.000000,0.000000
244485,139,257,143115,113805,1.000000,30.000000,30.000000,NULL,Delivery Charge,خدمة التوصيل,5,0,1,4,NULL,30.000000,0,147408,NULL,0,NULL,NULL,NULL
244486,139,257,143116,113715,1.000000,220.000000,220.000000,NULL,4PcVolt,NULL,1,0,1,4,NULL,220.000000,0,147308,NULL,0,NULL,0.000000,0.000000
244487,139,257,143116,113711,1.070000,210.000000,224.700000,NULL,WildEpic,NULL,1,0,1,4,NULL,224.700000,0,147304,NULL,0,NULL,0.000000,0.000000
244488,139,257,143116,0,1.000000,0.000000,0.000000,NULL,مشروم,NULL,4,244487,1,4,NULL,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
244489,139,257,143117,113716,1.000000,280.000000,280.000000,NULL,4PcNash,NULL,1,0,1,4,NULL,280.000000,0,147309,NULL,0,NULL,0.000000,0.000000
244490,139,257,143117,113710,1.000000,190.000000,190.000000,NULL,Jnash ,NULL,1,0,1,4,NULL,190.000000,0,147303,NULL,0,NULL,0.000000,0.000000
244491,139,257,143117,113764,2.000000,25.000000,50.000000,NULL,Maxi Cola,NULL,1,0,1,4,NULL,50.000000,0,147357,NULL,0,NULL,0.000000,0.000000
244492,139,257,143117,113805,1.000000,30.000000,30.000000,NULL,Delivery Charge,خدمة التوصيل,5,0,1,4,NULL,30.000000,0,147408,NULL,0,NULL,NULL,NULL
244493,139,257,143118,113724,1.000000,300.000000,300.000000,NULL,3PC VOLT,NULL,1,0,1,4,NULL,300.000000,0,147317,NULL,0,NULL,0.000000,0.000000
244494,139,257,143118,113711,1.070000,210.000000,224.700000,NULL,WildEpic,NULL,1,0,1,4,NULL,224.700000,0,147304,NULL,0,NULL,0.000000,0.000000
244495,139,257,143118,113740,1.000000,65.000000,65.000000,NULL,Drippin Cheddar Fries,NULL,1,0,1,4,NULL,65.000000,0,147333,NULL,0,NULL,0.000000,0.000000
244496,139,257,143119,113715,1.000000,220.000000,220.000000,NULL,4PcVolt,NULL,1,0,1,4,NULL,220.000000,0,147308,NULL,0,NULL,0.000000,0.000000
244497,139,257,143120,113757,1.000000,35.000000,35.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,35.000000,0,147350,NULL,0,NULL,0.000000,0.000000
244498,139,257,143121,113715,1.000000,220.000000,220.000000,NULL,4PcVolt,NULL,1,0,1,4,NULL,220.000000,0,147308,NULL,0,NULL,0.000000,0.000000
244499,139,257,143121,113712,1.000000,210.000000,210.000000,NULL,WildBlaze,NULL,1,0,1,4,NULL,210.000000,0,147305,NULL,0,NULL,0.000000,0.000000
244500,139,257,143121,113805,1.000000,30.000000,30.000000,NULL,Delivery Charge,خدمة التوصيل,5,0,1,4,NULL,30.000000,0,147408,NULL,0,NULL,NULL,NULL
244501,139,257,143122,113712,1.000000,210.000000,210.000000,NULL,WildBlaze,NULL,1,0,1,4,NULL,210.000000,0,147305,NULL,0,NULL,0.000000,0.000000
244502,139,257,143123,113714,1.000000,220.000000,220.000000,NULL,4PcOG,NULL,1,0,1,4,NULL,220.000000,0,147307,NULL,0,NULL,0.000000,0.000000
244503,139,257,143124,113709,1.000000,165.000000,165.000000,NULL,Jvolt,NULL,1,0,1,4,NULL,165.000000,0,147302,NULL,0,NULL,0.000000,0.000000
244504,139,257,143125,113708,1.000000,160.000000,160.000000,NULL,JOG,NULL,1,0,1,4,NULL,160.000000,0,147301,NULL,0,NULL,0.000000,0.000000
